chnm	casn	gene_name	assay_name	assay_format_type	assay_source_name	organism	logc	resp	idx
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-0.22184875	3.976166425	51136
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-1.698970004	-0.534596259	51137
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-1.22184875	0.534596259	51138
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	1.301029996	27.21170597	51139
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	1.698970004	17.08707258	51140
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	0.301029996	1.425915353	51141
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	0.698970004	12.51579877	51142
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-0.698970004	4.813318303	51143
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-0.22184875	3.976166425	51144
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-1.698970004	-0.534596259	51145
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-1.22184875	0.534596259	51146
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	1.301029996	60.46370794	51251
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	1.698970004	48.23827832	51252
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	0.301029996	8.157451879	51253
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	0.698970004	33.83053471	51254
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-0.698970004	5.811519611	51255
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-0.22184875	3.6120085	51256
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-1.698970004	-2.095959906	51257
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-1.22184875	2.095959906	51258
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	1.301029996	60.46370794	51259
